EventId,EventTemplate,Occurrences
E0,"('instruction', 'cache', 'parity', 'error', 'corrected')",64927
E1,"('machine', 'check', 'status', 'register:', '<*>')",24
E2,"('guaranteed', 'instruction', 'cache', 'block', '<*>')",2164
E3,"('guaranteed', 'data', 'cache', 'block', '<*>')",2164
E4,"('rts', 'panic!', '-', 'stopping', 'execution')",2586
E5,"('<*>', 'global', 'control', 'register:', '<*>')",4
E6,"('<*>', 'ecc', 'control', 'register:', '<*>')",4
E7,"('<*>', 'ecc', 'status', 'register:', '<*>')",3
E8,"('DDR', 'failing', 'info', 'register:', '<*>')",3
E9,"('prefetch', 'depth', 'for', 'core', '<*>')",8
E10,"('prefetch', 'depth', 'for', 'PLB', '<*>')",4
E11,"('max', 'number', 'of', 'outstanding', '<*>')",4
E12,"('<*>', 'Message=Invalid', 'JtagId', '=', 'ffffffff')",4
E13,"('parity', 'error', 'in', 'bank', '<*>')",6
E14,"('parity', 'error', 'in', 'write', '<*>')",3
E15,"('memory', 'manager', 'address', 'parity', '<*>')",3
E16,"('memory', 'manager', 'store', 'buffer', '<*>')",3
E17,"('memory', 'manager', 'RMW', 'buffer', '<*>')",3
E18,"('memory', 'manager', 'refresh', 'counter', '<*>')",3
E19,"('program', 'interrupt:', 'fp', 'cr', '<*>')",8086
E20,"('<*>', 'floating', 'point', 'alignment', 'exceptions')",6
E21,"('<*>', 'lib_ido_error:', '<*>', 'socket', 'closed')",6
E22,"('<*>', 'Message=Pll', 'failed', 'to', 'lock')",3
E23,"('NodeCard', 'is', 'not', 'fully', 'functional')",5
E24,"('LinkCard', 'is', 'not', 'fully', 'functional')",14
E25,"('MidplaneSwitchController', 'performing', 'bit', 'sparing', 'on', '<*>', 'bit', '<*>')",270
E26,"('total', 'of', '<*>', 'ddr', 'error(s)', 'detected', 'and', 'corrected')",2689
E27,"('ddr:', 'excessive', 'soft', 'failures,', 'consider', 'replacing', 'the', 'card')",41
E28,"('machine', 'check', 'interrupt', '<*>', '<*>', 'major', 'internal', 'error')",5
E29,"('number', 'of', 'correctable', 'errors', 'detected', 'in', '<*>', '<*>')",6
E30,"('Can', 'not', 'get', 'assembly', 'information', 'for', 'node', 'card')",2983
E31,"('ciod:', 'sendMsgToDebugger:', 'error', 'sending', 'PROGRAM_EXITED', 'message', 'to', 'debugger.')",1
E32,"('machine', 'check', 'interrupt', '<*>', '<*>', 'DCU', 'read', 'error')",2
E33,"('NodeCard', 'temperature', 'sensor', 'chip', '<*>', 'is', 'not', 'accessible')",5
E34,"('machine', 'check', 'interrupt', '<*>', 'Torus/Tree/GI', 'read', 'error', '<*>')",1
E35,"('generating', '<*>')",579475
E36,"('tlb', '<*>')",24
E37,"('start', '<*>')",16
E38,"('interrupt', '<*>')",6
E39,"('state', '<*>')",3
E40,"('qw', '<*>')",3
E41,"('chip', '<*>')",3
E42,"('capture', '<*>')",3
E43,"('uncorrectable', '<*>')",3
E44,"('correctable', '<*>')",3
E45,"('<*>', '<*>')",9
E46,"('Starting', 'SystemController')",4
E47,"('store', '<*>')",9807
E48,"('auxiliary', '<*>')",8403
E49,"('program', 'interrupt')",3662
